typename,original,columOpt_prealloc,columOpt_prealloc_V1,fminknap,resOpt,resFmin
uncorr,0.000754,0.000217,0.000215,0.000008,648.577255,648.577255,648.577255
uncorr,0.000733,0.000220,0.000203,0.000004,653.447543,653.447543,653.447543
uncorr,0.000764,0.000331,0.000203,0.000004,584.901617,584.901617,584.901617
uncorr,0.000747,0.000208,0.000209,0.000007,675.987014,675.987014,675.987014
uncorr,0.000760,0.000225,0.000203,0.000007,441.255688,441.255688,441.255688
uncorr,0.000752,0.000202,0.000203,0.000006,616.950094,616.950094,616.950094
uncorr,0.000876,0.000201,0.000201,0.000008,604.618259,604.618259,604.618259
uncorr,0.000788,0.000201,0.000207,0.000003,659.978003,659.978003,659.978003
uncorr,0.000739,0.000203,0.000203,0.000006,451.220892,451.220892,451.220892
uncorr,0.000764,0.000351,0.000205,0.000005,596.014058,596.014058,596.014058
uncorr,0.000746,0.000204,0.000204,0.000005,465.773508,465.773508,465.773508
uncorr,0.000767,0.000256,0.000204,0.000006,727.351061,727.351061,727.351061
uncorr,0.000744,0.000209,0.000205,0.000005,699.647989,699.647989,699.647989
uncorr,0.000739,0.000219,0.000203,0.000003,537.632795,537.632795,537.632795
uncorr,0.000760,0.000204,0.000205,0.000007,527.389116,527.389116,527.389116
uncorr,0.000911,0.000201,0.000202,0.000009,512.327335,512.327335,512.327335
uncorr,0.000742,0.000204,0.000250,0.000004,617.007934,617.007934,617.007934
uncorr,0.000747,0.000203,0.000204,0.000007,431.395687,431.395687,431.395687
uncorr,0.000735,0.000201,0.000203,0.000005,715.268729,715.268729,715.268729
uncorr,0.000745,0.000201,0.000202,0.000004,723.507282,723.507282,723.507282
uncorr,0.000922,0.000202,0.000203,0.000005,541.908599,541.908599,541.908599
uncorr,0.000749,0.000202,0.000203,0.000007,666.809165,666.809165,666.809165
uncorr,0.000739,0.000208,0.000272,0.000004,564.082554,564.082554,564.082554
uncorr,0.000783,0.000204,0.000204,0.000006,486.777310,486.777310,486.777310
uncorr,0.000913,0.000215,0.000215,0.000005,686.434826,686.434826,686.434826
uncorr,0.000732,0.000203,0.000203,0.000006,617.526562,617.526562,617.526562
uncorr,0.000781,0.000203,0.000203,0.000004,619.535074,619.535074,619.535074
uncorr,0.000733,0.000204,0.000204,0.000004,445.717297,445.717297,445.717297
uncorr,0.000744,0.000215,0.000243,0.000008,648.711421,648.711421,648.711421
uncorr,0.000976,0.000202,0.000203,0.000004,424.484870,424.484870,424.484870
uncorr,0.000768,0.000204,0.000204,0.000004,508.541456,508.541456,508.541456
uncorr,0.000733,0.000208,0.000271,0.000006,703.955577,703.955577,703.955577
uncorr,0.000738,0.000204,0.000205,0.000004,677.622192,677.622192,677.622192
uncorr,0.000777,0.000204,0.000205,0.000007,521.556601,521.556601,521.556601
uncorr,0.000746,0.000203,0.000365,0.000006,663.670061,663.670061,663.670061
uncorr,0.000802,0.000204,0.000205,0.000005,588.626329,588.626329,588.626329
uncorr,0.000750,0.000203,0.000203,0.000006,657.388260,657.388260,657.388260
uncorr,0.000889,0.000203,0.000203,0.000005,554.042650,554.042650,554.042650
uncorr,0.001037,0.000202,0.000205,0.000006,623.943023,623.943023,623.943023
uncorr,0.000751,0.000208,0.000205,0.000003,554.573317,554.573317,554.573317
uncorr,0.000753,0.000211,0.000203,0.000005,622.976767,622.976767,622.976767
uncorr,0.000748,0.000208,0.000203,0.000003,749.965250,749.965250,749.965250
uncorr,0.000776,0.000201,0.000202,0.000005,605.440624,605.440624,605.440624
uncorr,0.000749,0.000203,0.000202,0.000016,523.298018,523.298018,523.298018
uncorr,0.000751,0.000202,0.000203,0.000004,692.280768,692.280768,692.280768
uncorr,0.000755,0.000283,0.000243,0.000007,538.610277,538.610277,538.610277
uncorr,0.000741,0.000203,0.000204,0.000005,594.244837,594.244837,594.244837
uncorr,0.000790,0.000202,0.000201,0.000006,578.744676,578.744676,578.744676
uncorr,0.000749,0.000371,0.000202,0.000005,446.895972,446.895972,446.895972
uncorr,0.000772,0.000204,0.000204,0.000006,509.545506,509.545506,509.545506
uncorr,0.000764,0.000205,0.000205,0.000006,562.697223,562.697223,562.697223
uncorr,0.000747,0.000203,0.000204,0.000006,639.105822,639.105822,639.105822
uncorr,0.001313,0.000203,0.000207,0.000009,647.692856,647.692856,647.692856
uncorr,0.000860,0.000209,0.000209,0.000005,519.430433,519.430433,519.430433
uncorr,0.000775,0.000204,0.000204,0.000006,802.315980,802.315980,802.315980
uncorr,0.001024,0.000203,0.000203,0.000006,654.554837,654.554837,654.554837
uncorr,0.001106,0.000202,0.000211,0.000010,525.794627,525.794627,525.794627
uncorr,0.001392,0.000335,0.000333,0.000007,563.987117,563.987117,563.987117
uncorr,0.001064,0.000360,0.000385,0.000008,470.866471,470.866471,470.866471
uncorr,0.001150,0.000324,0.000414,0.000006,650.845331,650.845331,650.845331
uncorr,0.000775,0.000514,0.000230,0.000006,458.139106,458.139106,458.139106
uncorr,0.000747,0.000210,0.000204,0.000005,633.319007,633.319007,633.319007
uncorr,0.000742,0.000202,0.000203,0.000006,630.537224,630.537224,630.537224
uncorr,0.000746,0.000268,0.000208,0.000004,627.396220,627.396220,627.396220
uncorr,0.000770,0.000204,0.000204,0.000005,525.546676,525.546676,525.546676
uncorr,0.000743,0.000202,0.000203,0.000005,691.427610,691.427610,691.427610
uncorr,0.000731,0.000201,0.000203,0.000003,562.273686,562.273686,562.273686
uncorr,0.000774,0.000202,0.000202,0.000007,674.592585,674.592585,674.592585
uncorr,0.000741,0.000291,0.000202,0.000006,666.846018,666.846018,666.846018
uncorr,0.000777,0.000214,0.000204,0.000005,592.994283,592.994283,592.994283
uncorr,0.000741,0.000202,0.000202,0.000005,595.701626,595.701626,595.701626
uncorr,0.000744,0.000201,0.000202,0.000004,775.339439,775.339439,775.339439
uncorr,0.001022,0.000202,0.000204,0.000006,611.636516,611.636516,611.636516
uncorr,0.000753,0.000202,0.000203,0.000005,602.945711,602.945711,602.945711
uncorr,0.000742,0.000208,0.000208,0.000008,630.080593,630.080593,630.080593
uncorr,0.000743,0.000201,0.000202,0.000005,564.418840,564.418840,564.418840
uncorr,0.000781,0.000203,0.000204,0.000004,590.147885,590.147885,590.147885
uncorr,0.000974,0.000201,0.000320,0.000004,492.292262,492.292262,492.292262
uncorr,0.000782,0.000209,0.000209,0.000005,662.928878,662.928878,662.928878
uncorr,0.000753,0.000203,0.000203,0.000006,659.283136,659.283136,659.283136
uncorr,0.000768,0.000202,0.000202,0.000004,646.562047,646.562047,646.562047
uncorr,0.001008,0.000202,0.000203,0.000004,609.017257,609.017257,609.017257
uncorr,0.000753,0.000202,0.000203,0.000004,569.439627,569.439627,569.439627
uncorr,0.000738,0.000201,0.000213,0.000004,739.331522,739.331522,739.331522
uncorr,0.000748,0.000211,0.000204,0.000005,619.552218,619.552218,619.552218
uncorr,0.000800,0.000201,0.000202,0.000005,671.252220,671.252220,671.252220
uncorr,0.000738,0.000203,0.000209,0.000005,629.870455,629.870455,629.870455
uncorr,0.000754,0.000202,0.000203,0.000003,550.655040,550.655040,550.655040
uncorr,0.000742,0.000246,0.000203,0.000005,739.085520,739.085520,739.085520
uncorr,0.000732,0.000214,0.000204,0.000004,655.538388,655.538388,655.538388
uncorr,0.000779,0.000202,0.000202,0.000007,740.855236,740.855236,740.855236
uncorr,0.000755,0.000417,0.000208,0.000005,757.069311,757.069311,757.069311
uncorr,0.001378,0.000203,0.000205,0.000012,512.992534,512.992534,512.992534
uncorr,0.000935,0.000447,0.000421,0.000010,596.380345,596.380345,596.380345
uncorr,0.000747,0.000252,0.000221,0.000005,580.900626,580.900626,580.900626
uncorr,0.000746,0.000205,0.000204,0.000004,665.292343,665.292343,665.292343
uncorr,0.000751,0.000226,0.000206,0.000005,594.468567,594.468567,594.468567
uncorr,0.000743,0.000200,0.000201,0.000004,675.914125,675.914125,675.914125
uncorr,0.000803,0.000201,0.000201,0.000006,537.894471,537.894471,537.894471
uncorr,0.000773,0.000389,0.000306,0.000004,698.438670,698.438670,698.438670
almost,0.000751,0.000207,0.000207,0.000005,542.174135,542.174135,542.174135
almost,0.000756,0.000203,0.000204,0.000006,472.232332,472.232332,472.232332
almost,0.000781,0.000204,0.000204,0.000007,451.131167,451.131167,451.131167
almost,0.000752,0.000205,0.000218,0.000007,446.212845,446.212845,446.212845
almost,0.000746,0.000205,0.000205,0.000005,498.999157,498.999157,498.999157
almost,0.000982,0.000206,0.000207,0.000007,485.047024,485.047024,485.047024
almost,0.000797,0.000217,0.000216,0.000004,482.864852,482.864852,482.864852
almost,0.001092,0.000274,0.000375,0.000012,504.063972,504.063972,504.063972
almost,0.001105,0.000349,0.000341,0.000011,508.626820,508.626820,508.626820
almost,0.001054,0.000210,0.000212,0.000008,498.645782,498.645782,498.645782
almost,0.000939,0.000215,0.000216,0.000004,601.238044,601.238044,601.238044
almost,0.000761,0.000203,0.000204,0.000006,640.943346,640.943346,640.943346
almost,0.000771,0.000203,0.000203,0.000005,737.946106,737.946106,737.946106
almost,0.000755,0.000205,0.000205,0.000006,458.445621,458.445621,458.445621
almost,0.000747,0.000205,0.000206,0.000006,475.590151,475.590151,475.590151
almost,0.000760,0.000307,0.000205,0.000004,530.655939,530.655939,530.655939
almost,0.000745,0.000204,0.000205,0.000005,648.987857,648.987857,648.987857
almost,0.000749,0.000239,0.000204,0.000008,482.807501,482.807501,482.807501
almost,0.000750,0.000204,0.000205,0.000006,590.405976,590.405976,590.405976
almost,0.000754,0.000206,0.000205,0.000004,542.545560,542.545560,542.545560
almost,0.000749,0.000366,0.000204,0.000006,539.393431,539.393431,539.393431
almost,0.000759,0.000204,0.000205,0.000005,579.761760,579.761760,579.761760
almost,0.000765,0.000406,0.000219,0.000004,468.836056,468.836056,468.836056
almost,0.000768,0.000208,0.000204,0.000007,575.016568,575.016568,575.016568
almost,0.000878,0.000204,0.000214,0.000004,519.172495,519.172495,519.172495
almost,0.000748,0.000204,0.000204,0.000003,550.502875,550.502875,550.502875
almost,0.002008,0.000271,0.000236,0.000005,575.621031,575.621031,575.621031
almost,0.000948,0.000217,0.000218,0.000007,519.488733,519.488733,519.488733
almost,0.001693,0.000208,0.000423,0.000007,457.136362,457.136362,457.136362
almost,0.000996,0.000231,0.000231,0.000006,482.653635,482.653635,482.653635
almost,0.000757,0.000211,0.000210,0.000007,497.472676,497.472676,497.472676
almost,0.000952,0.000207,0.000208,0.000010,439.839627,439.839627,439.839627
almost,0.000751,0.000205,0.000207,0.000006,411.785284,411.785284,411.785284
almost,0.000776,0.000211,0.000207,0.000003,473.453930,473.453930,473.453930
almost,0.000940,0.000209,0.000207,0.000007,439.390415,439.390415,439.390415
almost,0.000760,0.000206,0.000207,0.000004,638.269872,638.269872,638.269872
almost,0.000752,0.000204,0.000298,0.000005,493.153436,493.153436,493.153436
almost,0.000792,0.000205,0.000206,0.000006,544.625067,544.625067,544.625067
almost,0.000782,0.000205,0.000205,0.000008,461.820075,461.820075,461.820075
almost,0.000736,0.000204,0.000205,0.000008,582.527942,582.527942,582.527942
almost,0.000979,0.000205,0.000213,0.000002,535.987225,535.987225,535.987225
almost,0.000752,0.000205,0.000210,0.000005,621.666545,621.666545,621.666545
almost,0.000763,0.000423,0.000212,0.000007,567.924574,567.924574,567.924574
almost,0.000752,0.000206,0.000207,0.000006,474.003005,474.003005,474.003005
almost,0.000755,0.000207,0.000207,0.000009,419.325401,419.325401,419.325401
almost,0.000760,0.000212,0.000255,0.000003,478.903414,478.903414,478.903414
almost,0.000781,0.000204,0.000204,0.000004,461.525719,461.525719,461.525719
almost,0.000753,0.000205,0.000205,0.000007,665.487064,665.487064,665.487064
almost,0.000749,0.000204,0.000206,0.000005,560.698329,560.698329,560.698329
almost,0.001019,0.000204,0.000205,0.000006,501.114543,501.114543,501.114543
almost,0.000758,0.000210,0.000210,0.000005,571.358963,571.358963,571.358963
almost,0.000749,0.000210,0.000206,0.000005,557.223595,557.223595,557.223595
almost,0.000750,0.000204,0.000204,0.000007,527.073263,527.073263,527.073263
almost,0.000755,0.000205,0.000205,0.000006,597.473163,597.473163,597.473163
almost,0.000755,0.000207,0.000208,0.000005,572.761013,572.761013,572.761013
almost,0.000750,0.000204,0.000205,0.000006,457.186343,457.186343,457.186343
almost,0.000767,0.000203,0.000210,0.000006,513.610000,513.610000,513.610000
almost,0.000749,0.000204,0.000208,0.000004,614.881229,614.881229,614.881229
almost,0.000903,0.000204,0.000205,0.000004,551.970457,551.970457,551.970457
almost,0.000756,0.000270,0.000210,0.000007,510.044462,510.044462,510.044462
almost,0.000976,0.000204,0.000205,0.000006,525.138447,525.138447,525.138447
almost,0.001319,0.000212,0.000218,0.000008,449.015742,449.015742,449.015742
almost,0.000767,0.000220,0.000253,0.000006,541.257544,541.257544,541.257544
almost,0.000761,0.000212,0.000211,0.000005,497.378412,497.378412,497.378412
almost,0.000753,0.000204,0.000261,0.000004,447.068125,447.068125,447.068125
almost,0.001018,0.000207,0.000207,0.000004,469.995820,469.995820,469.995820
almost,0.001102,0.000213,0.000212,0.000009,513.684787,513.684787,513.684787
almost,0.001402,0.000212,0.000207,0.000009,544.491745,544.491745,544.491745
almost,0.000755,0.000306,0.000210,0.000005,470.605182,470.605182,470.605182
almost,0.000748,0.000204,0.000213,0.000006,538.763992,538.763992,538.763992
almost,0.000883,0.000205,0.000205,0.000004,502.248343,502.248343,502.248343
almost,0.000771,0.000205,0.000206,0.000004,543.599967,543.599967,543.599967
almost,0.000755,0.000206,0.000206,0.000005,604.848468,604.848468,604.848468
almost,0.000747,0.000205,0.000209,0.000006,430.927648,430.927648,430.927648
almost,0.000763,0.000205,0.000205,0.000007,409.388242,409.388242,409.388242
almost,0.000756,0.000205,0.000240,0.000006,383.482781,383.482781,383.482781
almost,0.000798,0.000205,0.000206,0.000005,502.964829,502.964829,502.964829
almost,0.000758,0.000207,0.000207,0.000003,530.965057,530.965057,530.965057
almost,0.000744,0.000204,0.000205,0.000004,522.015633,522.015633,522.015633
almost,0.000821,0.000723,0.000220,0.000006,566.676616,566.676616,566.676616
almost,0.000751,0.000206,0.000206,0.000005,645.845122,645.845122,645.845122
almost,0.000749,0.000203,0.000204,0.000004,519.559744,519.559744,519.559744
almost,0.000744,0.000329,0.000206,0.000006,527.658044,527.658044,527.658044
almost,0.000757,0.000207,0.000207,0.000005,414.219665,414.219665,414.219665
almost,0.000752,0.000204,0.000381,0.000003,546.954931,546.954931,546.954931
almost,0.000808,0.000205,0.000206,0.000008,360.889533,360.889533,360.889533
almost,0.000884,0.000271,0.000205,0.000006,598.674702,598.674702,598.674702
almost,0.000750,0.000204,0.000205,0.000006,563.623632,563.623632,563.623632
almost,0.000943,0.000204,0.000206,0.000006,396.692173,396.692173,396.692173
almost,0.000750,0.000206,0.000214,0.000007,479.840317,479.840317,479.840317
almost,0.000749,0.000205,0.000205,0.000008,460.949053,460.949053,460.949053
almost,0.000749,0.000203,0.000205,0.000006,496.432942,496.432942,496.432942
almost,0.000979,0.000203,0.000204,0.000005,497.047230,497.047230,497.047230
almost,0.000806,0.001144,0.000501,0.000004,575.842710,575.842710,575.842710
almost,0.000750,0.000240,0.000205,0.000006,601.809734,601.809734,601.809734
almost,0.000765,0.000204,0.000205,0.000005,547.759526,547.759526,547.759526
almost,0.001085,0.000207,0.000212,0.000005,590.819442,590.819442,590.819442
almost,0.000746,0.000208,0.000209,0.000010,427.181632,427.181632,427.181632
almost,0.000751,0.000204,0.000205,0.000007,631.432300,631.432300,631.432300
almost,0.000774,0.000205,0.000205,0.000006,590.651365,590.651365,590.651365
inv,0.000995,0.000209,0.000208,0.000006,375.923665,375.923665,375.923665
inv,0.000849,0.000269,0.000206,0.000005,397.450816,397.450816,397.450816
inv,0.000832,0.000204,0.000205,0.000004,356.088237,356.088237,356.088237
inv,0.000849,0.000205,0.000205,0.000004,480.810653,480.810653,480.810653
inv,0.000867,0.000207,0.000206,0.000005,311.640572,311.640572,311.640572
inv,0.000825,0.000290,0.000266,0.000004,335.635178,335.635178,335.635178
inv,0.000866,0.000206,0.000206,0.000005,291.099391,291.099391,291.099391
inv,0.000823,0.000215,0.000204,0.000004,422.873072,422.873072,422.873072
inv,0.000823,0.000204,0.000205,0.000003,468.542822,468.542822,468.542822
inv,0.000886,0.000275,0.000204,0.000006,394.949887,394.949887,394.949887
inv,0.000853,0.000204,0.000205,0.000007,370.520575,370.520575,370.520575
inv,0.000826,0.000207,0.000207,0.000004,351.863972,351.863972,351.863972
inv,0.000836,0.000204,0.000210,0.000004,361.268524,361.268524,361.268524
inv,0.001060,0.000205,0.000214,0.000005,350.918984,350.918984,350.918984
inv,0.004580,0.000208,0.000206,0.000005,371.230100,371.230100,371.230100
inv,0.001346,0.000235,0.000232,0.000008,370.970524,370.970524,370.970524
inv,0.000837,0.000226,0.000224,0.000007,320.511038,320.511038,320.511038
inv,0.000833,0.000232,0.000205,0.000007,435.852128,435.852128,435.852128
inv,0.000963,0.000204,0.000203,0.000006,397.609012,397.609012,397.609012
inv,0.001308,0.000360,0.000359,0.000010,380.468177,380.468177,380.468177
inv,0.001302,0.000338,0.000332,0.000005,326.640726,326.640726,326.640726
inv,0.000854,0.000254,0.000208,0.000005,361.281938,361.281938,361.281938
inv,0.001145,0.000207,0.000206,0.000006,423.164856,423.164856,423.164856
inv,0.000827,0.000222,0.000218,0.000006,384.880820,384.880820,384.880820
inv,0.000846,0.000206,0.000290,0.000005,372.646469,372.646469,372.646469
inv,0.000840,0.000205,0.000205,0.000004,391.022201,391.022201,391.022201
inv,0.001028,0.000240,0.000211,0.000005,378.527907,378.527907,378.527907
inv,0.000833,0.000213,0.000212,0.000005,323.044649,323.044649,323.044649
inv,0.000823,0.000203,0.000203,0.000006,353.073379,353.073379,353.073379
inv,0.000830,0.000204,0.000205,0.000002,383.990621,383.990621,383.990621
inv,0.000832,0.000206,0.000206,0.000006,382.575740,382.575740,382.575740
inv,0.000994,0.000354,0.000206,0.000007,382.618816,382.618816,382.618816
inv,0.000858,0.000210,0.000210,0.000008,333.484800,333.484800,333.484800
inv,0.000826,0.000206,0.000213,0.000007,426.053626,426.053626,426.053626
inv,0.000883,0.000202,0.000203,0.000005,385.661286,385.661286,385.661286
inv,0.000855,0.000424,0.000205,0.000006,388.684110,388.684110,388.684110
inv,0.000834,0.000210,0.000205,0.000007,295.992406,295.992406,295.992406
inv,0.000825,0.000210,0.000211,0.000005,320.277419,320.277419,320.277419
inv,0.000937,0.000207,0.000207,0.000003,361.297192,361.297192,361.297192
inv,0.000824,0.000210,0.000388,0.000006,323.648829,323.648829,323.648829
inv,0.000895,0.000203,0.000204,0.000009,350.253864,350.253864,350.253864
inv,0.000826,0.000205,0.000205,0.000005,414.444735,414.444735,414.444735
inv,0.000830,0.000206,0.000206,0.000004,457.768006,457.768006,457.768006
inv,0.000826,0.000204,0.000204,0.000005,401.730005,401.730005,401.730005
inv,0.000883,0.000211,0.000205,0.000005,437.837884,437.837884,437.837884
inv,0.000856,0.000204,0.000348,0.000005,355.285606,355.285606,355.285606
